index,ingredient_name,traits,tags,substitutes,substitutes2,대분류,중분류,synonyms,속성수,언급량
265,방풍나물,"향긋함, 부드러움, 데침가능, 수분多","항산화, 장건강, 디톡스","곰취, 참나물, 미나리",,재료,야채/채소,,0,
266,사골엑기스,"감칠맛, 점성, 농축, 액체","보양, 면역력, 피로","사골국물, 뼈해장국, 닭뼈 육수",,재료,육류,,0,
267,아위버섯,"쫄깃함, 담백함, 수분多, 얇은조직","저칼로리, 장건강, 면역력","목이버섯, 뽕나무버섯, 백만송이버섯",,재료,버섯류,,0,
270,왕게,"감칠맛, 탱글함, 해산물풍미, 단맛","고단백, 보양, 저지방","대게, 킹크랩, 붉은대게",,재료,해산물,,0,
271,흉상어,"담백함, 부드러움, 기름짐, 흰살생선","고단백, 보양, 건강","상어, 삼치, 황새치",,재료,해산물,,0,
272,자운영,"향긋함, 잎채소, 수분多, 생식가능","비건, 항산화, 장건강","치커리, 상추, 쑥갓",,재료,기타생식재료,,0,
274,젓새우,"짠맛, 발효성, 풍미강화, 페이스트","저염, 소화, 장건강","액젓, 멸치젓, 어간장",,재료,해산물,,0,
275,조각매물고둥,"쫄깃함, 해산물, 탱글함, 담백함","고단백, 보양, 저지방","고둥, 골뱅이, 다슬기",,재료,해산물,,0,
276,중면,"쫄깃함, 전분질, 건조면, 밀가루질감","탄수화물, 에너지","칼국수면, 우동면, 생면",,재료,면류/밀가루류,,0,
277,콩가루,"고소함, 가루, 건조성, 단백질함량높음","고단백, 비건, 글루텐프리","볶은콩분말, 두유분말, 검은깨가루",,재료,두류,,0,
278,학공치,"담백함, 흰살생선, 가늘고 긴 형태, 수분多","고단백, 보양, 저지방","멸치, 전갱이, 도루묵",,재료,해산물,,0,
280,황기,"약재향, 뿌리채소, 건조성, 쌉쌀함","면역력, 보양, 한방","오가피, 천궁, 당귀",,재료,기타생식재료,,0,
281,황매퉁이,"담백함, 탄탄한살결, 흰살생선, 수분多","고단백, 저지방, 보양","도미, 감성돔, 농어",,재료,해산물,,0,
284,굴소스,"감칠맛, 점성, 농축, 어류농축","소화, 풍미강화, 비건아님","표고소스, 해물간장, 데리야끼소스",,재료,소스류,,0,
285,매퉁이,"감칠맛, 부드러움, 해산물, 탱글함","고단백, 저지방, 보양","참조기, 황태, 도루묵",,재료,해산물,,0,
288,참조기,"담백함, 탱글함, 얇은살결, 흰살생선","고단백, 저지방, 보양","조기, 민어, 도미",,재료,해산물,,0,
291,총각무,"아삭함, 섬유질, 수분多, 발효성","장건강, 디톡스, 비건","무청, 열무, 무말랭이",,재료,야채/채소,,0,
301,대봉,"단맛, 끈적임, 과즙多, 숙성과일","항산화, 피로, 소화","홍시, 감말랭이, 단감",,재료,과일,,0,
305,매끈이고둥,"쫄깃함, 해산물, 풍미강함, 담백함","고단백, 저지방, 보양","골뱅이, 다슬기, 고둥",,재료,해산물,,0,
307,밀,"전분질, 가루, 건조곡물, 밀가루질감","탄수화물, 에너지, 글루텐","통밀, 보리, 귀리",,재료,면류/밀가루류,,0,
309,백모근,"약재향, 건조성, 뿌리형태, 흰색섬유질","한방, 소화, 이뇨, 디톡스","칡, 감초, 맥문동",,재료,기타생식재료,,0,
310,백운배,"단맛, 과즙多, 아삭함, 배향","항산화, 피로, 면역력","배, 감, 사과",,재료,과일,,0,
313,사과호상요구르트,"부드러움, 액체, 과일함유, 발효성","소화, 유산균, 장건강","플레인요구르트, 과일요구르트, 그릭요구르트",,재료,유제품,,0,
314,사프란,"쌉쌀함, 향신료, 발색력, 건조성","항산화, 소화, 피로","강황, 울금, 캐러웨이",,재료,기타생식재료,,0,
316,소갈비양념,"짠맛, 단맛, 페이스트, 발효성","풍미강화, 고지방","불고기양념, 데리야끼소스, 고추장양념",,재료,소스류,,0,
317,수박씨,"고소함, 단단함, 씨앗류, 건조성","고단백, 항산화, 에너지","호박씨, 해바라기씨, 아마씨",,재료,곡류/견과류/씨앗류,,0,
318,스프,"감칠맛, 액체, 농축, 점성","소화, 에너지","닭육수, 크림스프, 된장국",,재료,소스류,,0,
320,주황미,"전분질, 고소함, 건조곡물, 쫀득함","고식이섬유, 저지방, 건강","현미, 올보리, 찰흑미",,재료,곡류/견과류/씨앗류,,0,
321,찰흑미,"전분질, 쫀득함, 고소함, 건조곡물","항산화, 고식이섬유, 건강","흑미, 현미, 주황미",,재료,곡류/견과류/씨앗류,,0,
323,튀밥,"바삭함, 고소함, 건조성, 곡물향","에너지, 건강, 간식","팝콘, 뻥튀기, 쌀강정",,재료,곡류/견과류/씨앗류,,0,
327,바질가루,"향긋함, 가루, 허브향, 건조성","항산화, 소화, 면역력","오레가노, 타임가루, 파슬리가루",,재료,기타생식재료,,0,
328,빨간횟대,"담백함, 부드러움, 흰살생선, 감칠맛","고단백, 저지방, 보양","가자미, 도미, 농어",,재료,해산물,,0,
341,농어,"담백함, 탄탄함, 흰살생선, 고소함","고단백, 저지방, 보양","도미, 광어, 우럭",,재료,해산물,,0,
342,대하,"탱글함, 해산물향, 감칠맛, 쫄깃함","고단백, 저지방, 보양","새우, 흰다리새우, 가리비",,재료,해산물,,0,
343,이탈리안드레싱,"산미, 액체, 향긋함, 유화","저지방, 건강, 소화","발사믹소스, 레몬드레싱, 유자소스",,재료,소스류,,0,
344,콜슬로드레싱,"크리미함, 유화, 액체, 농축","건강, 풍미강화, 저지방","마요네즈, 요거트드레싱, 레몬마요",,재료,소스류,,0,
351,가시오가피,"쌉쌀함, 약재향, 건조성, 수분多","면역력, 피로, 한방, 보양","황기, 헛개나무, 오가피",,재료,기타생식재료,,0,
353,눈볼대,"담백함, 부드러움, 흰살생선, 감칠맛","고단백, 저지방, 보양","도미, 숭어, 우럭",,재료,해산물,,0,
354,대두유,"액체, 무맛, 고열안정성, 유화","고열량, 건강","콩기름, 포도씨유, 해바라기유",,재료,유제품,,0,
356,망고호상요구르트,"부드러움, 과즙, 유화, 단맛","소화, 에너지, 장건강","플레인요거트, 과일요거트, 그릭요거트",,재료,유제품,,0,
358,미더덕,"탱글함, 해산물향, 끈적임, 감칠맛","저지방, 보양, 장건강","해파리, 멍게, 전복",,재료,해산물,,0,
363,월계수,"쌉쌀함, 향긋함, 건조성, 허브향","소화, 항산화, 향신료","타임, 로즈마리, 정향",,재료,기타생식재료,,0,
364,전지,"부드러움, 고소함, 지방多, 육즙","고단백, 고지방, 보양","삼겹살, 목살, 갈비살",,재료,육류,,0,
365,절임소스,"짠맛, 발효성, 액체, 풍미강화","저염, 소화, 건강","간장, 식초소스, 타마리간장",,재료,소스류,,0,
371,플레인호상요구르트/무가당,"부드러움, 액체, 유화, 발효성","장건강, 저지방, 소화","그릭요거트, 두유요거트, 아몬드요거트",,재료,유제품,,0,
373,아가베시럽,"단맛, 액체, 천연추출, 점성","저당, 비건, 혈당조절","올리고당, 메이플시럽, 꿀",,재료,양념/조미료,,0,
377,갈색양송이,"부드러움, 감칠맛, 수분多, 담백함","저칼로리, 항산화, 비건","표고버섯, 새송이버섯, 양송이버섯",,재료,버섯류,,0,
378,다래,"단맛, 과즙多, 부드러움, 열매류","항산화, 면역력, 장건강","키위, 아로니아, 물치다래",,재료,과일,,0,
379,동죽,"쫄깃함, 해산물향, 감칠맛, 조개질감","고단백, 저지방, 보양","바지락, 홍합, 백합",,재료,해산물,,0,
383,발사믹 소스,"산미, 액체, 농축, 향긋함","소화, 항산화, 건강","레몬소스, 식초, 유자소스",,재료,소스류,,0,
387,홍합,"감칠맛, 탱글함, 해산물향, 부드러움","고단백, 면역력, 보양","담치, 바지락, 가리비",,재료,해산물,,0,
388,훈제 오리,"풍미강함, 기름짐, 훈연향, 육즙","고단백, 고지방, 보양","오리고기, 훈제닭, 스모크햄",,재료,육류,,0,
389,배암차즈기,"향긋함, 쌉쌀함, 잎채소, 약재향","항산화, 소화, 한방","쑥, 국화잎, 깻잎",,재료,기타생식재료,,0,
390,곤약,"쫄깃함, 응고성, 투명질감, 수분多","저칼로리, 다이어트, 글루텐프리","곤약젤리, 청포묵, 곤약면",,재료,기타생식재료,,0,
393,뒷다리,"담백함, 지방少, 단단함, 육즙","고단백, 저지방, 다이어터","우둔살, 안심, 앞다리살",,재료,육류,,0,
394,멍게,"해산물향, 쌉쌀함, 탱글함, 연체질감","저지방, 보양, 콜라겐","해삼, 미더덕, 해파리",,재료,해산물,,0,
395,훈제연어,"감칠맛, 훈연향, 부드러움, 기름짐","오메가3, 고단백, 건강","연어, 훈제고등어, 참치캔",,재료,해산물,,0,
397,잡곡밥,"전분질, 고소함, 건조성, 곡물다양","고식이섬유, 저지방, 건강","현미밥, 귀리밥, 보리밥",,재료,곡류/견과류/씨앗류,,0,
398,양,"부드러움, 지방多, 육즙, 고소함","고단백, 고지방, 보양","소고기, 오리고기, 송아지고기",,재료,육류,,0,
399,산마늘,"향긋함, 아삭함, 잎채소, 마늘향","소화, 항산화, 건강","달래, 부추, 실파",,재료,야채/채소,,0,
400,꽁치,"기름짐, 감칠맛, 은색비늘, 부드러움","고단백, 오메가3, 건강","고등어, 삼치, 정어리",,재료,해산물,,0,
402,개량조개,"쫄깃함, 담백함, 해산물향, 조개형태","고단백, 저지방, 보양","백합, 바지락, 동죽",,재료,해산물,,0,
405,갑오징어,"쫄깃함, 탱글함, 감칠맛, 해산물향","고단백, 저지방, 보양","오징어, 한치, 낙지",,재료,해산물,,0,
410,안심,"부드러움, 육즙, 지방少, 담백함","고단백, 저지방, 다이어터","돼지안심, 닭가슴살, 우둔살",,재료,육류,안심살,1,
411,결구,"아삭함, 층층조직, 수분多, 잎채소","저칼로리, 장건강, 비건","양배추, 배추, 로메인",,재료,야채/채소,,0,
413,한우,"풍미강함, 육즙, 지방적당, 부드러움","고단백, 보양, 건강","소고기 등심, 안심, 한우차돌박이",,재료,육류,,0,
414,머스타드,"매운맛, 점성, 농축, 발색력","소화, 저지방, 건강","홀그레인머스타드, 고추냉이소스, 와사비",,재료,소스류,,0,
